targetid,survey,program,desi_target,z,zwarn,spectype,desiname,specid,redshift
39627847643435030,main,bright,1152921504606846976,0.1676773699715437,0,GALAXY,DESI J150.1660+02.4066,3.962784764343503e+16,0.1676773699715437
39627525894180896,main,bright,1152921504606846976,0.3013042099609066,0,GALAXY,DESI J330.4031-10.9172,3.96275258941809e+16,0.3013042099609066
39628391149732733,main,bright,1152921504606846976,0.3022501635368421,0,GALAXY,DESI J267.5284+25.6975,3.962839114973274e+16,0.30225016353684214
39628153047486518,main,bright,1152921504606846976,0.1340013040087494,0,GALAXY,DESI J234.5000+15.2477,3.962815304748652e+16,0.1340013040087494
39633416966111278,main,bright,5764607523034234880,0.02908225984546085,0,GALAXY,DESI J269.4643+62.5679,3.963341696611128e+16,0.029057938235922332
39627606458372341,main,bright,5764607523034234880,0.09168023874316315,0,GALAXY,DESI J150.9896-07.4855,3.9627606458372344e+16,0.09168023874316315
39628178670488836,main,bright,1152921504606846976,0.1527464561211667,0,GALAXY,DESI J019.7159+16.4024,3.962817867048883e+16,0.1527464561211667
39627776872946240,main,dark,1152921504606912513,0.5203245344054833,0,GALAXY,DESI J251.9852-00.5930,3.962777687294624e+16,0.5203245344054833
39628503993291706,main,bright,1152921504606846976,0.2782064739351438,0,GALAXY,DESI J347.4706+31.0598,3.9628503993291704e+16,0.2782064739351438
39627791343288444,main,bright,1152921504606846976,0.2458733262273932,0,GALAXY,DESI J034.2519+00.1561,3.962779134328845e+16,0.24587332622739316
39628003575074751,main,bright,1152921504606846976,0.07834165195785585,0,GALAXY,DESI J127.3445+08.9450,3.962800357507475e+16,0.07834165195785585
39627709206235057,main,bright,1152921504606846976,0.2583191253950691,0,GALAXY,DESI J178.3491-03.3625,3.962770920623506e+16,0.2583191253950691
39633290591733387,main,bright,1152921504606846976,0.1979377531984363,0,GALAXY,DESI J268.0734+52.7075,3.9633290591733384e+16,0.1979377531984363
39632940765806840,main,bright,1152921504606846976,0.2371689125794877,0,GALAXY,DESI J184.7798+33.0186,3.963294076580684e+16,0.23716891257948775
39628090627851726,main,dark,1152921504606912513,0.2328321844618683,0,GALAXY,DESI J004.6995+12.6825,3.962809062785173e+16,0.23283218446186835
39633478462999232,main,bright,1152921504606846976,0.09011306333349718,0,GALAXY,DESI J097.6037+68.6974,3.963347846299923e+16,0.09011306333349718
39628417288636487,main,bright,1152921504606846976,0.3378673966532567,0,GALAXY,DESI J203.9130+27.0443,3.962841728863649e+16,0.3378673966532567
39628094369176092,main,dark,1152921504606912513,0.4345367069594593,0,GALAXY,DESI J233.2556+12.7785,3.96280943691761e+16,0.4345367069594593
39627712708484114,main,dark,65537,0.5948418018683896,0,GALAXY,DESI J027.4785-03.0453,3.962771270848411e+16,0.5948418018683896
39628211113428815,main,dark,65537,0.8602440342134154,0,GALAXY,DESI J240.0763+17.7823,3.962821111342882e+16,0.8602440342134154
39627712238716348,main,dark,1152921504606912513,0.3048678186993448,0,GALAXY,DESI J359.2976-03.2190,3.962771223871635e+16,0.30486781869934476
39627947929243398,main,dark,65537,0.6391612262156172,0,GALAXY,DESI J022.7961+06.7212,3.96279479292434e+16,0.6391612262156172
39628465518939236,main,bright,1152921504606912513,0.3919127881989146,0,GALAXY,DESI J219.0903+29.2302,3.962846551893923e+16,0.39191278819891456
39627666910874401,main,dark,1152921504606912513,0.2672780157811173,0,GALAXY,DESI J172.6008-05.1083,3.96276669108744e+16,0.2672780157811173
39627618160480664,main,dark,1152921504606912513,0.3862908843294879,0,GALAXY,DESI J133.3374-07.0250,3.9627618160480664e+16,0.38629088432948794
39632981261813955,main,dark,257,0.9161545632857937,0,GALAXY,DESI J210.3517+35.0682,3.963298126181395e+16,0.9161545632857937
39627432155677041,main,dark,65537,0.9144222276302109,0,GALAXY,DESI J004.1998-14.8028,3.962743215567704e+16,0.9144222276302109
39628090921452263,main,dark,65537,0.7966850073307193,0,GALAXY,DESI J022.5640+12.7167,3.9628090921452264e+16,0.7966850073307193
39627725345919651,main,dark,65537,0.59827087147514,0,GALAXY,DESI J060.6525-02.4203,3.962772534591965e+16,0.59827087147514
39632930431044426,main,dark,1152921504606847233,0.2364488585220319,0,GALAXY,DESI J174.2776+32.5910,3.9632930431044424e+16,0.23644885852203187
39632979928026721,main,dark,257,0.6912173865731792,0,GALAXY,DESI J113.5214+34.8884,3.963297992802672e+16,0.6912173865731792
39627817687712998,main,dark,65537,0.9506486310919039,0,GALAXY,DESI J164.5611+01.1600,3.9627817687713e+16,0.9506486310919039
39628238665813647,main,dark,65537,0.6234495753194548,0,GALAXY,DESI J167.8068+18.9226,3.962823866581365e+16,0.6234495753194548
39633239391864532,main,dark,257,0.5537543566197576,0,GALAXY,DESI J103.3755+49.4220,3.963323939186453e+16,0.5537543566197576
39628439359064088,main,bright,1152921504606912513,0.4639209905392583,0,GALAXY,DESI J244.8113+28.0702,3.962843935906409e+16,0.4639209905392583
39627647105371791,main,dark,65537,0.8288572148748369,0,GALAXY,DESI J067.8974-05.8061,3.962764710537179e+16,0.8288572148748369
39627621402674233,main,dark,65537,0.8131648065647468,0,GALAXY,DESI J327.8231-07.0277,3.962762140267423e+16,0.8131648065647468
39632931253126987,main,dark,257,0.7842354710763946,0,GALAXY,DESI J232.1775+32.4423,3.9632931253126984e+16,0.7842354710763946
39627975695538823,main,dark,65537,0.7997318997097864,0,GALAXY,DESI J249.2866+07.7746,3.9627975695538824e+16,0.7997318997097864
39633053739385102,main,dark,257,0.4886416277503934,0,GALAXY,DESI J198.8880+38.8462,3.96330537393851e+16,0.4886416277503934
